"8503054","679810","246554","Triemli SZU"
"102638","680894","247119","Zürich, Talwiesenstrasse"
"103155","679724","247362","Zürich, Schulhaus Altweg"
"8503052","680773","246543","Friesenberg"
"100902","680778","246488","Zürich, Friesenberg"
"101320","679534","247022","Zürich, In der Ey"
"101272","681002","246898","Zürich, Höfliweg"
"102147","679820","247598","Zürich, Sackzelg"
"100904","680562","246238","Zürich, Friesenbergstrasse"
"100903","680360","246130","Zürich, Friesenberghalde"
"101252","680115","247879","Zürich, Hubertus"
"8502572","681216","247162","Zürich, Goldbrunnenplatz"
"100489","681058","246331","Zürich, Binz"
"101007","679251","247313","Zürich, Goldackerweg"
"103714","681012","246226","Zürich, Binz Center"
"100897","680979","247786","Zürich, Friedhof Sihlfeld"
"100468","681204","247528","Zürich, Bertastrasse"
"101446","680748","247991","Zürich, Krematorium Sihlfeld"
"100898","680228","245860","Zürich, Friedhof Uetliberg"
"103018","681368","247299","Zürich, Zwinglihaus"
"102998","680000","245870","Zürich, Zielweg"
"101307","680764","245930","Zürich, Im Hagacker"
"102385","679737","248064","Zürich, Siemens"
"102120","681284","246324","Zürich, Räffelstrasse"
"8573711","679047","246903","Zürich, Altersheim Tanne"
"100840","679282","247739","Zürich, Fellenbergstrasse"
"100048","680938","248039","Zürich, Albisriederplatz"
"103019","681195","247873","Zürich, Zypressenstrasse"
"100884","679536","248083","Zürich, Freilagerstrasse"
"103797","679748","248201","Zürich, Albisrank"
"101548","680430","248368","Zürich, Letzigrund"
"100047","679010","247587","Zürich, Albisrieden"
"103705","679041","247691","Zürich, Albisriederdörfli"
"100493","681560","246352","Zürich, Binz SZU"
"8503051","681568","246315","Zürich Binz"
"101143","680958","245606","Zürich, Hegianwandweg"
"100867","679540","248366","Zürich, Flurstrasse"
"101519","681399","245900","Zürich, Laubegg"
"101614","681806","246631","Zürich, Manesseplatz"
"100883","680098","248585","Zürich, Freihofstrasse"
"102722","681240","245655","Zürich, Uetlihof"
"8503091","681827","246299","Zürich Giesshübel"
"103139","681566","245844","Zürich, Brunaupark"
"101122","681244","248502","Zürich, Hardplatz"
"102754","678896","248191","Zürich, Untermoosstrasse"
"101162","680835","248773","Zürich, Herdernstrasse"
"102550","681725","245787","Zürich, Saalsporthalle"
"101364","679759","248817","Zürich, Kappeli"
"102771","681920","246034","Zürich, Sihlcity Nord"
"102596","681076","245245","Zürich, Strassenverkehrsamt"
"100046","680775","245121","Zürich, Albisgütli"
"102142","680395","248960","Zürich, SBB-Werkstätte"
"101549","679874","248931","Zürich, Letzipark West"
"106463","681865","245801","Zürich, Sihlcity"
"102795","682123","246195","Zürich, Waffenplatzstrasse"
"8503087","681857","245738","Zürich Saalsporthalle"
"8503056","678471","246006","Ringlikon"
"106019","682180","246216","Zürich, Waffenplatz-/Bederstr."
"102034","678944","248583","Zürich, Rautistrasse"
"8503057","679259","245142","Uetliberg"
"103148","680079","249090","Zürich, Letzipark"
"8503020","681434","248822","Zürich Hardbrücke"
"101026","679391","248991","Zürich, Grimselstrasse"
"101288","682222","245869","Zürich, Hügelstrasse"
"106003","679270","249074","Zürich, Solidapark"
"103029","681553","248967","Zürich, Bahnhof Hardbrücke"
"101592","679651","249269","Zürich, Luggwegstrasse"
"100427","679393","249191","Zürich, Baslerstrasse"
"101570","679090","249082","Zürich, Lindenplatz"
"101880","681567","249029","Zürich, Pfingstweidstrasse"
"100799","681833","249448","Zürich, Escher-Wyss-Platz"
"102937","681911","249651","Zürich, Wipkingerplatz"
"100927","681427","249602","Zürich, Förrlibuckstrasse"
"102104","682051","249846","Zürich, Rosengartenstrasse"
"103716","681493","249818","Zürich, Breitensteinstrasse"
"103453","681319","249220","Zürich, Technopark"
"8503015","682347","249706","Zürich Wipkingen"
"103043","682359","249752","Zürich, Bahnhof Wipkingen"
"102800","681516","249969","Zürich, Waidfussweg"
"101528","681647","250052","Zürich, Lehenstrasse"
"106423","681106","249554","Zürich, Toniareal"
"103761","681138","249886","Zürich, Hardturm-Steg"
"100857","681045","249748","Zürich, Fischerweg"
"102035","681255","250121","Zürich, Rebbergsteig"
"102858","682276","250234","Zürich, Weihersteig"
"101595","682546","250001","Zürich, Lägernstrasse"
"102803","681760","250380","Zürich, Waidspital"
"100800","681035","250048","Zürich, Eschergutweg"
"100718","680824","249403","Zürich, Duttweilerbrücke"
"101441","681457","250430","Zürich, Pflegezentr. Käferberg"
"103759","680867","249928","Zürich, Grossmannstrasse"
"100467","680787","249766","Zürich, Bernoulli-Häuser"
"102799","681144","250350","Zürich, Waidbadstrasse"
"101522","682871","249931","Zürich, Laubiweg"
"100564","682635","250308","Zürich, Bucheggplatz"
"101379","680881","250161","Zürich, Kempfhofsteig"
"102449","680510","249536","Zürich, Sportweg"
"103151","680841","250339","Zürich, Appenzellerstrasse"
"100067","680671","250209","Zürich, Alte Trotte"
"103758","680550","250017","Zürich, Fabrik am Wasser"
"102447","680469","249806","Zürich, Hardturm"
"101061","683157","250015","Zürich, Guggachstrasse"
"103150","680660","250416","Zürich, Am Börtli"
"101744","682460","250880","Zürich, Nordheimstrasse"
"102017","682773","250707","Zürich, Radiostudio"
"101316","680785","250618","Zürich, Im Wingert"
"100007","680231","249574","Zürich, Aargauerstrasse"
"101643","683289","250215","Zürich, Milchbuck"
"102306","680469","250425","Zürich, Schwert"
"101445","682227","251101","Zürich, Krematorium Nordheim"
"101507","683511","249779","Zürich, Langmauerstrasse"
"103587","682629","250971","Zürich, Berufswahlschule"
"103757","680289","250206","Zürich, Tobeleggweg"
"101334","683510","250070","Zürich, Universität Irchel"
"101215","683382","250495","Zürich, Hirschwiesenstrasse"
"102598","683704","249802","Zürich, Strickhof"
"101611","682100","251350","Zürich, Maienweg"
"100498","682418","251320","Zürich, Birchdörfli"
"101120","679935","250042","Zürich, Hardhof"
"100832","684126","246107","Zürich, Feldeggstrasse"
"102388","684528","246423","Zürich, Signaustrasse"
"8503449","682989","245946","Zürich Enge Seerestaurant"
"103477","682863","246027","Zürich, Schweizer Rück"
"100769","683979","245812","Zürich, Elektrowatt"
"102124","684740","246976","Zürich, Römerhof"
"8503083","684752","246991","Zürich Römerhof"
"101286","684278","245837","Zürich, Höschgasse"
"101666","682563","246116","Zürich, Museum Rietberg"
"103645","684550","245991","Zürich, Botanischer Garten"
"8530812","684757","246255","Zürich Hegibachplatz"
"101278","684931","246710","Zürich, Hölderlinstrasse"
"103466","684933","246381","Zürich, Freiestrasse"
"103648","685010","247186","Zürich, Klosbach"
"103470","685082","246850","Zürich, Hölderlinsteig"
"103800","684185","245450","Zürich, Chinagarten"
"100547","682620","245607","Zürich, Brunaustrasse"
"103522","682779","245475","Zürich, Sukkulentensammlung"
"100917","684486","245526","Zürich, Fröhlichstrasse"
"101430","685197","246522","Zürich, Klusplatz"
"101138","685092","246119","Zürich, Hedwigsteig"
"8503653","684205","245239","Zürichhorn Casino"
"100070","684827","245546","Zürich, Altenhofstrasse"
"8574780","677879","245791","Ringlikon, Dorf"
"100893","678223","248521","Zürich, Friedhof Eichbühl"
"102276","678465","248715","Zürich, Schulhaus Buchlern"
"102033","678186","248887","Zürich, Rautihalde"
"8573731","678414","244743","Stallikon, Diebis"
"100137","678857","249202","Zürich, Bachmattstrasse"
"102152","678007","249055","Zürich, Salzweg"
"100542","679158","249334","Zürich, Bristenstrasse"
"101581","678047","249247","Zürich, Loogarten"
"103022","679256","249450","Zürich, Bahnhof Altstetten"
"100821","678553","249415","Zürich, Farbhof"
"100716","677876","249185","Zürich, Dunkelhölzli"
"8503001","679298","249492","Zürich Altstetten"
"102366","678951","249523","Zürich, Seidelhof"
"101698","678169","249415","Zürich, Neeserweg"
"105001","679198","249603","Zürich, Bahnhof Altstetten N"
"8503696","678851","244128","Stallikon, Sellenbüren"
"100546","682238","245492","Zürich, Brunau/Mutschellenstr."
"103588","678927","249806","Zürich, Vulkanstrasse"
"101640","678235","249634","Zürich, Micafil"
"101041","679313","249909","Zürich, Grünaustrasse"
"100092","677824","249445","Zürich, Am Suteracher"
"100852","677940","249606","Zürich, Feusisbergli"
"100592","678994","250030","Zürich, Bändliweg"
"102872","678766","250191","Zürich, Werdhölzli"
"102707","679696","250220","Zürich, Tüffenwies"
"103153","678226","250251","Zürich, Juchhof"
"102934","679710","250451","Zürich, Winzerhalde"
"103771","679881","250394","Zürich, Weinberg Höngg"
"101231","679379","250590","Zürich, Hohenklingensteig"
"106015","679068","250811","Zürich, Winzerstrasse Süd"
"102831","679484","250750","Zürich, Wartau"
"102935","679086","250855","Zürich, Winzerstrasse"
"103015","679876","250690","Zürich, Zwielplatz"
"101626","680070","250673","Zürich, Meierhofplatz"
"103138","679983","250778","Zürich, Kappenbühlweg"
"102899","679809","250898","Zürich, Wieslergasse"
"100872","678706","251065","Zürich, Frankental"
"100748","678156","251038","Oberengstringen, Eggbühl"
"102402","679621","251012","Zürich, Singlistrasse"
"102364","679352","251268","Zürich, Segantinistrasse"
"103122","678564","251533","Zürich, Riedhofstrasse"
"8503086","682174","245155","Zürich Brunau"
"102659","682296","244941","Zürich, Thujastrasse"
"100488","682609","245088","Zürich, Billoweg"
"101354","682330","244699","Zürich, Jugendherberge"
"103141","682780","245037","Zürich, Landiwiese"
"100470","682307","244418","Zürich, Besenrainstrasse"
"8503009","682737","244642","Zürich Wollishofen"
"103044","682687","244596","Zürich, Bhf Wollishofen (Tram)"
"103774","682794","244659","Zürich, Bhf Wollishofen (Bus)"
"100144","682963","251145","Zürich, Bad Allenmoos"
"102045","683071","251472","Zürich, Regensbergbrücke"
"101821","682581","251649","Zürich, Oberwiesenstrasse"
"100465","683731","250905","Zürich, Berninaplatz"
"102151","683770","251177","Zürich, Salersteig"
"100694","683792","251328","Zürich, Dorflinde"
"102572","683594","251618","Zürich, Sternen Oerlikon"
"103449","682806","251938","Zürich, Birchstrasse"
"103034","683450","251750","Zürich, Bahnhof Oerlikon"
"102666","684027","250716","Zürich, Tierspital"
"8503006","683432","251778","Zürich Oerlikon"
"103706","681920","251665","Zürich, Althoos"
"106255","683407","251828","Zürich, Bahnhof Oerlikon Nord"
"103450","682456","251969","Zürich, Chaletweg"
"101705","681991","251793","Zürich, Neuaffoltern"
"103789","682959","252078","Zürich, Bollingerweg"
"103766","681745","251680","Zürich, Rebhüsli"
"103764","683218","252055","Zürich, Max-Bill-Platz"
"100888","684126","251166","Zürich, Friedackerstrasse"
"103451","682096","252029","Zürich, Mötteliweg"
"103447","683560","251981","Zürich, Bahnhof Oerlikon Ost"
"101502","683858","249659","Zürich, Langensteinenstrasse"
"103154","683929","251692","Zürich, Messe/Hallenstadion"
"103770","681613","251785","Zürich, Wannenholz"
"103788","682518","252285","Zürich, Maillartstrasse"
"106117","682655","252308","Zürich, Stierenried"
"103804","682978","252347","Zürich, Neunbrunnen"
"102814","684467","250981","Zürich, Waldgarten"
"106020","681510","251988","Zürich, Glaubtenstrasse Süd"
"101000","681558","252037","Zürich, Glaubtenstrasse"
"100845","683540","252342","Zürich, Felsenrainstrasse"
"103760","684320","251699","Zürich, Hallenbad Oerlikon"
"101552","683970","252132","Zürich, Leutschenbach"
"101292","681820","252351","Zürich, Hürstholz"
"102289","681218","251810","Zürich, Schumacherweg"
"8503007","683460","252581","Zürich Seebach"
"106250","683007","252700","Zürich, Himmeri"
"103768","682760","252720","Zürich, Staudenbühl"
"102069","684577","251696","Zürich, Riedgraben"
"101093","684289","252110","Zürich, Hagenholz"
"100908","684840","250987","Zürich, Frohburg"
"102005","682694","244311","Zürich, Post Wollishofen"
"101660","682482","244250","Zürich, Morgental"
"102109","682935","244129","Zürich, Rote Fabrik"
"8503681","682975","244434","Zürich Wollishofen ZSG"
"101356","682554","244014","Zürich, Kalchbühlweg"
"100586","682499","243968","Zürich, Butzenstrasse"
"102776","682127","243898","Zürich, Verenastrasse"
"102950","682492","243638","Zürich, Wollishofen"
"102834","683094","243699","Zürich, Seerose"
"102889","682701","243456","Zürich, Widmerstrasse"
"100649","682484","243205","Zürich, Dangelstrasse"
"8503093","681700","243620","Zürich Manegg"
"102461","683352","243272","Zürich, Stadtgrenze"
"101612","681753","243464","Zürich, Manegg"
"101710","682862","243030","Zürich, Neubühl"
"100916","681665","243259","Zürich, Frymannstrasse"
"8503094","681700","243200","Zürich Leimbach"
"101249","683385","242946","Kilchberg, Hornhaldenstr."
"102859","683494","242934","Kilchberg, Weinbergstrasse"
"102547","681626","243049","Zürich, Bahnhof Leimbach"
"100589","683220","242602","Kilchberg, Bächlerstrasse"
"101863","683487","242679","Kilchberg, Paradiessteig"
"102612","682468","242375","Zürich, Sunnau"
"101864","683796","242576","Kilchberg, Paradiesstrasse"
"101615","681387","242723","Zürich, Marbachweg"
"103796","683305","242306","Kilchberg, Mythenstrasse"
"102154","683590","242393","Kilchberg, Sanatorium"
"102907","684639","245331","Zürich, Wildbachstrasse"
"103041","684803","245002","Zürich, Bahnhof Tiefenbrunnen"
"8503004","684832","244970","Zürich Tiefenbrunnen"
"102239","683484","242132","Kilchberg, Schlimbergstr."
"102580","683286","242056","Kilchberg, Stockengut"
"101310","681188","242485","Zürich, Im Hüsli"
"101457","683665","242111","Kilchberg, Kreuzstrasse"
"102398","681339","242285","Zürich, Sihlweidstrasse"
"8503200","683862","242099","Kilchberg"
"101018","683474","241932","Kilchberg, Gottlieb-Binder"
"101391","683868","242094","Kilchberg, Bahnhof"
"100418","685196","244508","Zollikon, Bahnübergang"
"102363","685293","244162","Zollikon, Seestrasse"
"102956","685220","245167","Zürich, Wonnebergstrasse"
"103458","680619","252258","Zürich, Schauenberg"
"103457","680815","252049","Zürich, Lerchenrain"
"102968","680579","252587","Zürich, Zehntenhausplatz"
"100767","681072","252209","Zürich, Einfangstrasse"
"106511","680731","252756","Zürich, Bahnhof Affoltern Süd"
"101539","680848","251754","Zürich, Lerchenhalde"
"103021","680648","252813","Zürich, Bahnhof Affoltern"
"101259","680280","252747","Zürich, Hungerbergstrasse"
"8503008","680532","252858","Zürich Affoltern"
"100914","680845","252902","Zürich, Fronwald"
"100735","680689","251423","Zürich, ETH Hönggerberg"
"102737","680977","253196","Zürich, Unteraffoltern"
"103566","679883","251529","Zürich, Schützenhaus Höngg"
"100594","680793","253310","Zürich, Bärenbohlstrasse"
"101239","679829","253093","Zürich, Holzerhurd"
"100895","679664","251438","Zürich, Friedhof Hönggerberg"
"101280","680470","251004","Zürich, Hönggerberg"
"102298","681645","253124","Zürich, Schwandenholz"
"101641","679779","251149","Zürich, Michelstrasse"
"105009","679267","251407","Zürich, Segantinistrasse Nord"
"102801","681954","253138","Zürich, Waidhof"
"100979","679044","251629","Zürich, Giblenstrasse"
"101156","678883","251795","Zürich, Heizenholz"
"101045","678824","252368","Zürich, Grünwald"
"100944","678622","252036","Zürich, Geeringstrasse"
"102140","678388","251923","Zürich, Rütihof"
"100896","682937","252863","Zürich, Friedhof Schwandenholz"
"102320","682823","253393","Zürich, Schönauring"
"100573","683025","252965","Zürich, Buhnstrasse"
"106304","682863","253755","Zürich, Köschenrüti"
"102008","686656","250567","Zürich, Probstei"
"101620","686985","250396","Zürich, Mattenhof"
"100998","686289","250715","Zürich, Glattwiesen"
"101220","686996","250909","Zürich, Hirzenbach"
"100088","686987","251174","Zürich, Altried"
"101587","686591","251306","Zürich, Luchswiesen"
"101590","686254","251205","Zürich, Luegisland"
"103523","687028","251252","Zürich, Altried (Regionalbus)"
"102107","685926","250860","Zürich, Roswiesen"
"102575","687381","250250","Zürich, Bahnhof Stettbach"
"8503147","687381","250243","Stettbach"
"103560","687363","251040","Dübendorf, Stettbacherwiesen"
"101139","685874","251055","Zürich, Heerenwiesen"
"101228","687571","250125","Dübendorf, Hoffnung"
"102329","686114","251517","Zürich, Schürgistrasse"
"103296","687766","250875","Dübendorf, Neugut Süd"
"102983","687322","251575","Zentrum Glatt"
"102294","685510","251036","Zürich, Schwamendingerplatz"
"101179","685596","251364","Zürich, Herzogenmühlestrasse"
"100901","685327","250961","Zürich, Friedrichstrasse"
"101478","687433","249385","Dübendorf, Kämmaten"
"8587655","687062","251927","Wallisellen, Bahnhof"
"8503129","687037","251962","Wallisellen"
"103715","685199","250811","Zürich, Bocklerstrasse"
"102688","685310","251186","Zürich, Tulpenstrasse"
"103241","687443","251855","Wallisellen, Florastrasse"
"100439","686575","252132","Wallisellen, Belair"
"103371","686985","252105","Wallisellen, Zentrum"
"103320","687486","251928","Wallisellen, Rosenberg"
"100114","685547","251736","Zürich, Aubrücke"
"103315","687772","251783","Wallisellen, Riedenerstrasse"
"100134","685546","252010","Zürich, Auzelg Ost"
"103245","686964","252367","Wallisellen, Gemeindehaus"
"102326","684932","251178","Zürich, Schörlistrasse"
"106276","686558","252410","Wallisellen, Kaserne"
"102671","686729","248708","Zürich, Tobelhof"
"101160","685010","251467","Zürich, Herbstweg"
"100708","685173","251721","Zürich, Dreispitz"
"101311","685952","248823","Zürich, Im Klösterli"
"101176","686062","252368","Wallisellen, Herti"
"106275","686701","252463","Wallisellen, Bodenackerstrasse"
"103752","686117","252440","Wallisellen, Melchrütistrasse"
"106214","687697","248873","Gockhausen, Ursprungstrasse"
"101425","685776","248756","Zürich, Klosterweg"
"106277","686326","252554","Wallisellen, Steinacker"
"103255","687145","252534","Wallisellen, Hallenbad"
"103751","686199","252569","Wallisellen, Langenwiesenstr."
"103504","687541","252514","Wallisellen, Guyer-Weg"
"103198","687296","252612","Wallisellen, Altersheim"
"102145","684848","251718","Zürich, Saatlenstrasse"
"106274","686789","252713","Wallisellen, Frohheimstrasse"
"101006","687553","248555","Gockhausen"
"100004","686046","248365","Zürich, Zoo/Forrenweid"
"100132","685235","252378","Zürich, Auzelg"
"103005","685551","248477","Zürich, Zoo"
"103291","687522","252769","Wallisellen, Lindenplatz"
"103001","685088","252379","Zürich, Orionstrasse"
"106477","685097","252469","Zürich, Rohwiesen"
"103121","684805","252204","Zürich, Kehrichtverbrennung"
"100711","685864","248176","Zürich, Dreiwiesen"
"103224","687662","252957","Wallisellen, Bützacker"
"100859","685287","248363","Zürich, Flobotstrasse"
"106278","685885","253059","Glattbrugg, Zil"
"103240","686269","253148","Opfikon, Fernsicht"
"102067","684518","252114","Zürich, Riedbach"
"101186","685036","248472","Zürich, Heubeeriweg"
"102618","685288","248136","Zürich, Susenbergstrasse"
"8503084","685789","247550","Zürich Dolder"
"103765","687026","245756","Zürich, Paulus-Akademie"
"100455","686983","245933","Zürich, Berghaldenstrasse"
"103767","687210","245633","Zürich, Segeten"
"100617","686724","245909","Zürich, Carl-Spitteler-Str."
"101584","687321","246089","Zürich, Loorenstrasse"
"103787","686879","246201","Zürich, Buchholz"
"103773","686621","246003","Zürich, Witikon Zentrum"
"103772","687501","245575","Zürich, Wiesliacher"
"103011","687579","245780","Zürich, Zweiackerstrasse"
"102836","686410","245950","Zürich, Waserstrasse"
"103769","687638","245464","Zürich, Trichtenhausenfussweg"
"103444","687680","246218","Zürich, Glockenacker"
"101389","687830","245573","Zürich, Kienastenwies"
"8503069","686480","245093","Zürich Rehalp"
"106416","687825","245435","Zürich, Trichtisal"
"102549","686463","245094","Zürich, Rehalp"
"103826","687532","244993","Zollikerberg, Hasenbart"
"100713","686135","246125","Zürich, Drusbergstrasse"
"100894","686259","245085","Zürich, Friedhof Enzenbühl"
"103756","687454","244811","Zollikerberg, Spital"
"103747","687897","245070","Zollikerberg, Trichtenhauserm."
"8503077","687513","244697","Spital Zollikerberg"
"8530811","685856","245480","Zürich Balgrist"
"102040","686935","244510","Zollikon, Rebwiesstrasse"
"106254","687616","244643","Zollikerb., Langägerten/Spital"
"8503078","687231","244488","Waldburg"
"102807","687252","244479","Waldburg, Station"
"102341","686710","244418","Zollikon, Schützenstrasse"
"102251","685777","246370","Zürich, Schlyfi"
"100580","685612","245859","Zürich, Burgwies"
"101362","685557","246207","Zürich, Kapfstrasse"
"101315","685817","244761","Zürich, Im Walder"
"100053","686484","244199","Zollikon, Allmend"
"102879","685364","246093","Zürich, Wetlistrasse"
"100868","685444","245016","Zürich, Flühgasse"
"103594","685536","244816","Zürich, EPI-Klinik"
"100508","685609","244653","Zürich, Bleulerstrasse"
"106014","686054","243994","Zollikon, Zentrum"
"101277","686371","243850","Zollikon, Höhestrasse"
"100961","685950","243944","Zollikon, Gemeindehaus"
"100824","685467","244210","Zollikon, Felbenstrasse"
"100715","685700","243904","Zollikon, Dufourplatz"
"100476","685889","243468","Zollikon, Beugi"
"101013","686091","243298","Zollikon, Goldhaldenplatz"
"103003","685487","243605","Zollikon, Bahnhof"
"8503655","685315","243705","Zollikon ZSG"
"8503100","685483","243557","Zollikon"
"100610","686241","242965","Küsnacht ZH, Bühlstrasse"
"106459","684184","252462","Zürich, Oerlikerhus"
"106461","684403","252729","Glattpark"
"101374","684251","252830","Glattbrugg, Katzenbach"
"101275","683740","252709","Zürich, Seebacherplatz"
"106460","684752","252536","Zürich, Fernsehstudio"
"102346","683843","252933","Zürich, Seebach"
"101651","684560","253188","Glattbrugg, Mode Center TMC"
"103446","684128","253337","Zürich, Ettenfeld"
"100128","683747","253226","Zürich, Ausserdorfstrasse"
"101175","683367","253039","Zürich, Hertensteinstrasse"
"106455","684926","253212","Glattpark, Earhartstrasse"
"100909","684405","253634","Glattbrugg, Frohbühlstrasse"
"102568","684759","253535","Glattbrugg, Stelze"
"100497","683560","253545","Zürich, Birch-/Glatttalstrasse"
"103246","684869","253691","Glattbrugg, Giebeleichstrasse"
"101532","683415","253687","Zürich, Leimgrübelstrasse"
"101846","684724","253806","Opfikon, Bahnhof"
"103532","685034","253646","Glattbrugg, Lättenwiesen"
"8503340","684735","253845","Opfikon"
"8503310","684512","253939","Glattbrugg"
"101925","684685","253909","Glattbrugg, Post"
"100994","684526","253970","Glattbrugg, Bahnhof"
"101095","685332","253647","Glattbrugg, Halden"
"101303","683382","253969","Zürich, Im Ebnet"
"101483","683161","253830","Zürich, Käshaldenstrasse"
"100130","685757","253313","Opfikon, Austrasse"
"103298","685686","253646","Opfikon, Neuwiesen"
"103375","685932","253276","Opfikon, Aublick"
"102286","685635","253955","Opfikon, Schulstrasse"
"101029","686047","253510","Opfikon, Grossacker"
"103248","686222","253307","Opfikon, Grätzli"
"103360","686082","253683","Opfikon, Vreniker"
