406,"Wetzikon ZH, Ettenhausen",8590915,704758,242216
409,"Nürensdorf, Post",8506962,691295,255847
410,"Rüschlikon, Schlossstrasse",8590783,684317,240911
412,"Zürich, Bahnhofplatz/HB",8587348,683122,247962
413,"Zürich, Bahnhofquai/HB",8587349,683302,247991
414,"Dietikon, Bahnhofstrasse",8590217,672843,250835
416,"Zürich, Bahnhofstrasse/HB",8591067,683172,247886
418,"Zollikon, Bahnübergang",8576201,685196,244508
421,"Zürich, Balgrist",8530811,685855,245484
422,"Kloten, Balsberg Hardacher",8573214,685469,255000
425,"Bergdietikon, Baltenschwil",8587019,672021,249544
427,"Zürich, Baslerstrasse",8591070,679393,249191
428,"Bassersdorf, Bahnhof",8503700,689576,254891
429,"Dübendorf, Bauhof",8590549,690287,250020
430,"Bauma, Bahnhof",8573278,708775,247400
432,"Wädenswil, Baumgarten",8590853,693417,230742
433,"Horgen, Baumgärtlihof",8580724,687878,234882
434,"Wiesendangen, Baumschulstrasse",8576228,701385,264300
435,"Zürich, Beckenhof",8591071,683198,248723
437,"Wädenswil, Beichlen",8573569,692765,229203
439,"Wallisellen, Belair",8590881,686575,252132
440,"Zürich, Bellevue",8576193,683575,246839
442,"Kempraten, Belsito",8503354,704811,232985
443,"Rüschlikon, Belvoir",8590772,683939,240167
445,Benglen,8591825,690649,246280
446,"Benglen, Zentrum",8590504,690271,246269
447,"Ebmatingen, Benkelsteg",8590595,691639,244669
449,"Nürensdorf, Berg",8576170,691449,256257
450,"Pfäffikon ZH, Berg",8503552,702503,247918
451,"Gossau ZH, Ernst-Brugger-Platz",8503181,700160,239813
452,Berg am Irchel,8573688,687249,269411
453,"Rüti ZH, Bergacher",8588037,707261,234302
455,"Zürich, Berghaldenstrasse",8591072,686983,245933
456,"Horgen, Bergli",8573555,687392,234723
457,"Bergdietikon, Bergli",8590201,671805,249367
458,"Bülach, Berglistrasse",8580635,683381,264288
459,"Zürich, Bergstation Dolderbahn",8503084,685802,247551
462,"Küsnacht ZH, Bergstrasse",8576218,687033,241034
465,"Zürich, Berninaplatz",8591073,683731,250905
466,"Bergdietikon, Bernold",8590202,671693,249004
467,"Zürich, Bernoulli-Häuser",8591074,680787,249766
468,"Zürich, Bertastrasse",8591075,681204,247528
469,"Bertschikon bei Gossau, Dorf",8503267,699709,241886
470,"Zürich, Besenrainstrasse",8591077,682307,244418
471,"Zürich, Bethanien",8591078,684317,248418
473,"Winterthur, Bettenplatz",8580454,696439,263394
474,"Dübendorf, Bettlistrasse",8590550,689607,250258
475,"Meilen, Beugen",8576082,691719,235858
476,"Zollikon, Beugi",8576204,685889,243468
477,"Meilen, Bezibüel/Chilchbüel",8588017,692651,237197
478,"Zürich, Bezirksgebäude",8591079,682089,247605
479,"Dielsdorf, Bezirksgebäude",8576285,676434,259516
480,"Winterthur, Bezirksgebäude",8590923,697289,262261
484,"Obfelden, Bickwil",8572604,674497,235897
487,"Kyburg, Billikon",8575947,697145,255461
488,"Zürich, Billoweg",8591082,682609,245088
489,"Zürich, Grubenstrasse",8591083,681058,246331
490,"Binz bei Maur, Post",8591826,689852,245819
491,"Stäfa, Binz Nord",8576054,697288,233954
493,"Zürich, Binz",8591824,681560,246352
494,"Wetzikon ZH, Binzackerstrasse",8576093,703158,242892
495,"Winterthur, Binzenloo",8573665,701655,258843
497,"Zürich, Birch-/Glatttalstrasse",8591085,683560,253545
498,"Zürich, Birchdörfli",8591086,682418,251320
500,Birchwil bei Nürensdorf,8576168,690496,257018
501,"Birmensdorf ZH, Bahnhof",8573718,675564,245598
502,"Dietikon, Birmensdorferstrasse",8590512,673888,250100
505,"Bisikon, Dorf",8503351,694848,252055
508,"Zürich, Bleulerstrasse",8591089,685609,244653
